,transcript_id,speaker_ID,speaker,speaker_role,text_duration
0,1940_1955_350us11_t01,15050.0,Felix Frankfurter,scotus_justice,133.722
1,1940_1955_350us11_t01,15063.0,Stanley Reed,scotus_justice,87.434
2,1940_1955_350us11_t01,15089.0,Hugo L. Black,scotus_justice,259.376
3,1940_1955_350us11_t01,15099.0,Earl Warren,scotus_justice,282.853
4,1940_1955_350us11_t01,15127.0,Harold Burton,scotus_justice,206.925
5,1940_1955_350us11_t01,42093.0,Simon E. Sobeloff,not_a_justice,2804.259
6,1940_1955_350us11_t01,45178.0,"William A. Kehoe, Jr.",not_a_justice,2719.816
7,1955_102_t01,15050.0,Felix Frankfurter,scotus_justice,5.295
8,1955_102_t01,15063.0,Stanley Reed,scotus_justice,7.445
9,1955_102_t01,15089.0,Hugo L. Black,scotus_justice,21.708
10,1955_102_t01,15099.0,Earl Warren,scotus_justice,13.024
11,1955_102_t01,38608.0,Robert N. Burchmore,not_a_justice,331.059
12,1955_10_orig_t01,15050.0,Felix Frankfurter,scotus_justice,103.924
13,1955_10_orig_t01,15063.0,Stanley Reed,scotus_justice,12.335
14,1955_10_orig_t01,15089.0,Hugo L. Black,scotus_justice,196.081
15,1955_10_orig_t01,15099.0,Earl Warren,scotus_justice,57.91
16,1955_10_orig_t01,15107.0,William O. Douglas,scotus_justice,87.669
17,1955_10_orig_t01,37089.0,Northcutt Ely,not_a_justice,4092.941
18,1955_10_orig_t01,45423.0,W. T. Mathews,not_a_justice,214.774
19,1955_10_orig_t02,15050.0,Felix Frankfurter,scotus_justice,541.738
20,1955_10_orig_t02,15063.0,Stanley Reed,scotus_justice,64.185
21,1955_10_orig_t02,15089.0,Hugo L. Black,scotus_justice,616.563
22,1955_10_orig_t02,15107.0,William O. Douglas,scotus_justice,43.239
23,1955_10_orig_t02,15127.0,Harold Burton,scotus_justice,49.456
24,1955_10_orig_t02,16091.0,Mr. Attorney General,not_a_justice,1390.284
25,1955_10_orig_t02,26708.0,Hatfield Chilson,not_a_justice,2137.949
26,1955_10_orig_t02,30403.0,John P. Frank,not_a_justice,2925.753
27,1955_10_orig_t02,37089.0,Northcutt Ely,not_a_justice,1225.325
28,1955_10_orig_t02,45423.0,W. T. Mathews,not_a_justice,806.278
29,1955_10_t01,15037.0,Sherman Minton,scotus_justice,5.15
30,1955_10_t01,15050.0,Felix Frankfurter,scotus_justice,886.272
31,1955_10_t01,15063.0,Stanley Reed,scotus_justice,92.974
32,1955_10_t01,15083.0,Tom C. Clark,scotus_justice,50.67
33,1955_10_t01,15089.0,Hugo L. Black,scotus_justice,373.324
34,1955_10_t01,15099.0,Earl Warren,scotus_justice,132.246
35,1955_10_t01,15107.0,William O. Douglas,scotus_justice,8.497
36,1955_10_t01,15127.0,Harold Burton,scotus_justice,116.073
37,1955_10_t01,18345.0,Charles F. Barber,not_a_justice,1237.034
38,1955_10_t01,28219.0,Herbert S. Thatcher,not_a_justice,2503.001
39,1955_10_t01,35232.0,Louis C. Wyman,not_a_justice,1490.409
40,1955_111_t01,15037.0,Sherman Minton,scotus_justice,27.678
41,1955_111_t01,15050.0,Felix Frankfurter,scotus_justice,180.686
42,1955_111_t01,15063.0,Stanley Reed,scotus_justice,94.435
43,1955_111_t01,15083.0,Tom C. Clark,scotus_justice,7.38
44,1955_111_t01,15089.0,Hugo L. Black,scotus_justice,371.454
45,1955_111_t01,15099.0,Earl Warren,scotus_justice,277.265
46,1955_111_t01,17224.0,A.L. Wirin,not_a_justice,2761.616
47,1955_111_t01,37425.0,Oscar H. Davis,not_a_justice,1880.15
48,1955_156_t01,15089.0,Hugo L. Black,scotus_justice,0.447999999999
49,1955_156_t01,15099.0,Earl Warren,scotus_justice,35.748
50,1955_156_t01,29035.0,John R. Benney,not_a_justice,1793.342
51,1955_156_t01,34487.0,Leslie C. Gillen,not_a_justice,3289.942
52,1955_162_t01,15037.0,Sherman Minton,scotus_justice,14.733
53,1955_162_t01,15050.0,Felix Frankfurter,scotus_justice,674.669
54,1955_162_t01,15063.0,Stanley Reed,scotus_justice,30.651
55,1955_162_t01,15083.0,Tom C. Clark,scotus_justice,36.557
56,1955_162_t01,15089.0,Hugo L. Black,scotus_justice,162.081
57,1955_162_t01,15099.0,Earl Warren,scotus_justice,228.22
58,1955_162_t01,15107.0,William O. Douglas,scotus_justice,1.537
59,1955_162_t01,15127.0,Harold Burton,scotus_justice,34.678
60,1955_162_t01,19847.0,Carl L. Phinney,not_a_justice,1209.322
